Town,RawCount
Paranhos,293
Cascais e Estoril,179
Albufeira e Olhos de Água,166
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",153
Portimão,132
Quarteira,113
Bonfim,101
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",100
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",95
Santa Marinha e São Pedro da Afurada,94
Carcavelos e Parede,94
Montijo e Afonsoeiro,93
Canidelo,93
Algueirão-Mem Martins,92
"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",89
São Sebastião,88
Santa Maria Maior,86
Arroios,85
Matosinhos e Leça da Palmeira,82
Queluz e Belas,82
São Vicente,81
São Domingos de Rana,80
Covilhã e Canhoso,80
Estrela,80
Buarcos e São Julião,76
Santo António dos Olivais,75
Charneca de Caparica e Sobreda,74
Santo António,72
Avenidas Novas,72
"Leiria, Pousos, Barreira e Cortes",72
São João das Lampas e Terrugem,72
"Almada, Cova da Piedade, Pragal e Cacilhas",71
Rio de Mouro,70
Mafamude e Vilar do Paraíso,70
"Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",69
Agualva e Mira-Sintra,69
"Seixal, Arrentela e Aldeia de Paio Pires",65
Odivelas,64
Pombal,64
Massamá e Monte Abraão,64
Faro (Sé e São Pedro),63
Palmela,62
Ramalde,62
Glória e Vera Cruz,61
"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",59
Amora,59
Corroios,59
Campanhã,58
São Domingos de Benfica,58
Santo António dos Cavaleiros e Frielas,57
Fernão Ferro,57
Alverca do Ribatejo e Sobralinho,57
Alcabideche,56
Azeitão (São Lourenço e São Simão),54
Misericórdia,53
Castelo Branco,52
Cacém e São Marcos,52
São Mamede de Infesta e Senhora da Hora,51
Lordelo do Ouro e Massarelos,51
"Santarém (Marvila), Santa Iria da Ribeira de Santarém, Santarém (São Salvador) e Santarém (São Nicolau)",50
Lumiar,50
Rio Tinto,49
Loures,49
Cidade da Maia,49
Ericeira,49
Fânzeres e São Pedro da Cova,49
"Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",49
"Gondomar (São Cosme), Valbom e Jovim",48
Alvalade,48
"Aldoar, Foz do Douro e Nevogilde",48
Pontinha e Famões,47
Carnaxide e Queijas,47
Santiago (Sesimbra),46
Venteira,46
Esgueira,46
Belém,45
Penha de França,45
São Felix da Marinha,45
Quinta do Anjo,44
Cartaxo e Vale da Pinta,43
Azurém,42
Campolide,42
Colares,41
Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,41
Laranjeiro e Feijó,41
Vialonga,41
Pinhal Novo,41
São Gonçalo de Lagos,40
"Alto do Seixalinho, Santo André e Verderena",40
"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",40
"Ovar, São João, Arada e São Vicente de Pereira Jusã",40
"Valença, Cristelo Covo e Arão",39
"Sé, Santa Maria e Meixedo",39
Póvoa de Santa Iria e Forte da Casa,38
Alenquer (Santo Estêvão e Triana),37
Ermesinde,37
Espinho,36
Grijó e Sermonde,36
Mina de Água,36
"Santa Iria de Azoia, São João da Talha e Bobadela",35
"Perafita, Lavra e Santa Cruz do Bispo",35
São João da Madeira,35
Tomar (São João Baptista) e Santa Maria dos Olivais,35
Benfica,35
Sacavém e Prior Velho,34
Lourinhã e Atalaia,34
Bougado (São Martinho e Santiago),34
Lousã e Vilarinho,33
"Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",33
Olivais,33
Castelo (Sesimbra),32
Marrazes e Barosa,32
Marvila,32
Tavira (Santa Maria e Santiago),32
Reguengos de Monsaraz,31
Madalena,31
"Braga (Maximinos, Sé e Cividade)",31
Tavarede,31
Águas Santas,31
Alvaiázere,31
Gulpilhares e Valadares,31
Grândola e Santa Margarida da Serra,30
Canelas,30
"Custóias, Leça do Balio e Guifões",30
Águas Livres,30
Quinta do Conde,29
Carvalhal,29
Atouguia da Baleia,29
"Almargem do Bispo, Pêro Pinheiro e Montelavar",29
"Santa Maria da Feira, Travanca, Sanfins e Espargo",29
Alcântara,29
Ramada e Caneças,28
"Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo",28
"Real, Dume e Semelhe",28
Abrantes (São Vicente e São João) e Alferrarede,28
Braga (São José de São Lázaro e São João do Souto),28
Peso da Régua e Godim,28
Marinha Grande,28
Olhão,28
São Victor,28
"Alhandra, São João dos Montes e Calhandriz",27
São Bartolomeu de Messines,27
Condeixa-a-Velha e Condeixa-a-Nova,27
Parque das Nações,26
Arcozelo,26
Vila Nova de Famalicão e Calendário,26
Cantanhede e Pocariça,26
São João Baptista,26
Vila Franca de Xira,26
"Nogueira, Fraião e Lamaçães",26
Macedo de Cavaleiros,26
