Town,RawCount
Paranhos,289
Albufeira e Olhos de Água,191
Cascais e Estoril,156
Portimão,138
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",126
Queluz e Belas,108
Montijo e Afonsoeiro,108
Canidelo,101
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",101
Quarteira,101
Arroios,100
Matosinhos e Leça da Palmeira,97
São Sebastião,96
"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",91
Rio de Mouro,91
São Vicente,90
Santa Maria Maior,89
Bonfim,81
Estrela,81
"Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",80
Santa Marinha e São Pedro da Afurada,80
Palmela,80
Buarcos e São Julião,78
Misericórdia,78
São João das Lampas e Terrugem,78
Mafamude e Vilar do Paraíso,77
Covilhã e Canhoso,77
Algueirão-Mem Martins,76
"Seixal, Arrentela e Aldeia de Paio Pires",75
São Domingos de Rana,73
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",72
Carcavelos e Parede,72
Odivelas,70
Alcabideche,69
Santo António,68
Avenidas Novas,67
Santo António dos Olivais,65
"Leiria, Pousos, Barreira e Cortes",65
Pombal,64
Castelo Branco,64
Cacém e São Marcos,64
Corroios,63
Charneca de Caparica e Sobreda,62
Vialonga,62
Venteira,60
"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",60
Glória e Vera Cruz,59
"Gondomar (São Cosme), Valbom e Jovim",57
Mina de Água,56
Alverca do Ribatejo e Sobralinho,56
"Almada, Cova da Piedade, Pragal e Cacilhas",56
Massamá e Monte Abraão,55
Azeitão (São Lourenço e São Simão),54
Rio Tinto,54
Loures,54
Santo António dos Cavaleiros e Frielas,54
Pontinha e Famões,52
Carnaxide e Queijas,51
Águas Livres,50
"Alto do Seixalinho, Santo André e Verderena",50
Campanhã,49
Fernão Ferro,49
Faro (Sé e São Pedro),48
Agualva e Mira-Sintra,48
Laranjeiro e Feijó,48
Lumiar,48
Alvalade,48
São Mamede de Infesta e Senhora da Hora,48
Cidade da Maia,47
Campolide,47
Amora,47
Lourinhã e Atalaia,46
Nossa Senhora de Fátima,46
São Domingos de Benfica,46
Colares,45
"Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",44
"Ovar, São João, Arada e São Vicente de Pereira Jusã",44
Fânzeres e São Pedro da Cova,44
Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,43
Esgueira,43
Lousã e Vilarinho,42
Cartaxo e Vale da Pinta,42
Santiago (Sesimbra),41
Quinta do Anjo,41
Ramalde,41
São Felix da Marinha,41
Alcochete,41
"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",41
Penha de França,40
Espinho,40
São Victor,40
Ermesinde,39
Alcântara,39
Marinha Grande,38
Caparica e Trafaria,38
Ericeira,38
Águas Santas,37
"Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",37
Santa Clara e Castelo Viegas,37
Nazaré,36
"Aldoar, Foz do Douro e Nevogilde",36
Areeiro,36
"Perafita, Lavra e Santa Cruz do Bispo",36
Castelo (Sesimbra),36
Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,35
Olivais,35
Benfica,35
Belém,35
Ramada e Caneças,35
"Almargem do Bispo, Pêro Pinheiro e Montelavar",35
Braga (São José de São Lázaro e São João do Souto),35
